index,name,hue,value,chroma,R,G,B
0,2.5R2/2,2.5R,2.0,2,63,39,41
1,2.5R3/2,2.5R,3.0,2,91,64,64
2,2.5R4/2,2.5R,4.0,2,117,93,94
3,2.5R5/2,2.5R,5.0,2,141,119,119
4,2.5R6/2,2.5R,6.0,2,168,146,146
5,2.5R7/2,2.5R,7.0,2,196,174,174
6,2.5R8/2,2.5R,8.0,2,222,203,203
7,2.5R9/2,2.5R,9.0,2,247,228,228
8,2.5R2/4,2.5R,2.0,4,78,36,44
9,2.5R3/4,2.5R,3.0,4,107,59,64
10,2.5R4/4,2.5R,4.0,4,133,85,89
11,2.5R5/4,2.5R,5.0,4,158,114,116
12,2.5R6/4,2.5R,6.0,4,185,140,141
13,2.5R7/4,2.5R,7.0,4,212,168,168
14,2.5R8/4,2.5R,8.0,4,241,193,193
15,2.5R2/6,2.5R,2.0,6,85,27,44
16,2.5R3/6,2.5R,3.0,6,117,48,58
17,2.5R4/6,2.5R,4.0,6,141,72,78
18,2.5R5/6,2.5R,5.0,6,172,104,109
19,2.5R6/6,2.5R,6.0,6,202,132,134
20,2.5R7/6,2.5R,7.0,6,228,159,160
21,2.5R8/6,2.5R,8.0,6,260,185,186
22,2.5R2/8,2.5R,2.0,8,98,14,44
23,2.5R3/8,2.5R,3.0,8,129,38,55
24,2.5R4/8,2.5R,4.0,8,158,69,81
25,2.5R5/8,2.5R,5.0,8,185,97,105
26,2.5R6/8,2.5R,6.0,8,213,125,130
27,2.5R7/8,2.5R,7.0,8,245,151,154
28,2.5R3/10,2.5R,3.0,10,141,16,52
29,2.5R4/10,2.5R,4.0,10,169,56,75
30,2.5R5/10,2.5R,5.0,10,199,87,99
31,2.5R6/10,2.5R,6.0,10,227,115,122
32,2.5R4/12,2.5R,4.0,12,181,40,71
33,2.5R5/12,2.5R,5.0,12,212,75,96
34,2.5R6/12,2.5R,6.0,12,240,106,119
35,2.5R4/14,2.5R,4.0,14,191,19,71
36,2.5R5/14,2.5R,5.0,14,222,58,91
37,5R2/2,5R,2.0,2,67,44,45
38,5R3/2,5R,3.0,2,93,64,64
39,5R4/2,5R,4.0,2,119,92,90
40,5R5/2,5R,5.0,2,141,119,117
41,5R6/2,5R,6.0,2,171,146,144
42,5R7/2,5R,7.0,2,194,171,169
43,5R8/2,5R,8.0,2,222,203,200
44,5R9/2,5R,9.0,2,251,230,228
45,5R2/4,5R,2.0,4,78,36,42
46,5R3/4,5R,3.0,4,109,60,60
47,5R4/4,5R,4.0,4,134,84,83
48,5R5/4,5R,5.0,4,160,111,108
49,5R6/4,5R,6.0,4,182,137,134
50,5R7/4,5R,7.0,4,212,165,162
51,5R8/4,5R,8.0,4,241,193,189
52,5R2/6,5R,2.0,6,85,19,30
53,5R3/6,5R,3.0,6,120,51,54
54,5R4/6,5R,4.0,6,145,76,75
55,5R5/6,5R,5.0,6,173,104,101
56,5R6/6,5R,6.0,6,200,132,128
57,5R7/6,5R,7.0,6,224,155,150
58,5R8/6,5R,8.0,6,256,184,178
59,5R2/8,5R,2.0,8,96,7,31
60,5R3/8,5R,3.0,8,127,40,47
61,5R4/8,5R,4.0,8,159,67,68
62,5R5/8,5R,5.0,8,186,95,93
63,5R6/8,5R,6.0,8,212,120,116
64,5R7/8,5R,7.0,8,248,152,146
65,5R3/10,5R,3.0,10,141,24,41
66,5R4/10,5R,4.0,10,171,56,60
67,5R5/10,5R,5.0,10,198,86,86
68,5R6/10,5R,6.0,10,227,113,111
69,5R7/10,5R,7.0,10,257,141,135
70,5R4/12,5R,4.0,12,182,44,54
71,5R5/12,5R,5.0,12,211,73,75
